"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030106a Ullern";"21 years";292
"030106a Ullern";"22 years";275
"030106a Ullern";"23 years";274
"030106a Ullern";"24 years";335
"030106a Ullern";"25 years";382
"030106a Ullern";"26 years";425
"030106a Ullern";"27 years";401
"030106a Ullern";"28 years";450
"030106a Ullern";"29 years";467
"030106a Ullern";"30 years";473
"030106a Ullern";"31 years";509
"030106a Ullern";"32 years";515
"030106a Ullern";"33 years";568
"030106a Ullern";"34 years";537
"030106a Ullern";"35 years";503
"030106a Ullern";"36 years";492
"030106a Ullern";"37 years";519
"030106a Ullern";"38 years";489
"030106a Ullern";"39 years";504
"030106a Ullern";"40 years";502
"030106a Ullern";"41 years";499
"030106a Ullern";"42 years";495
"030106a Ullern";"43 years";477
"030106a Ullern";"44 years";442
"030106a Ullern";"45 years";464
"030106a Ullern";"46 years";527
"030106a Ullern";"47 years";501
"030106a Ullern";"48 years";470
"030106a Ullern";"49 years";495
"030106a Ullern";"50 years";473
"030106a Ullern";"51 years";436
"030106a Ullern";"52 years";446
"030106a Ullern";"53 years";431
"030106a Ullern";"54 years";433
"030106a Ullern";"55 years";426
"030106a Ullern";"56 years";435
"030106a Ullern";"57 years";474
"030106a Ullern";"58 years";418
"030106a Ullern";"59 years";383
"030106a Ullern";"60 years";382
"030106a Ullern";"61 years";406
"030106a Ullern";"62 years";378
"030106a Ullern";"63 years";404
"030106a Ullern";"64 years";355
"030106a Ullern";"65 years";379
"030106a Ullern";"66 years";361
"030106a Ullern";"67 years";335
"030106a Ullern";"68 years";367
"030106a Ullern";"69 years";359
"030106a Ullern";"70 years";377
"030106a Ullern";"71 years";321
"030106a Ullern";"72 years";338
"030106a Ullern";"73 years";380
"030106a Ullern";"74 years";365
"030106a Ullern";"75 years";434
"030106a Ullern";"76 years";365
"030106a Ullern";"77 years";357
"030106a Ullern";"78 years";308
"030106a Ullern";"79 years";226
"030106a Ullern";"80 years";194
"030106a Ullern";"81 years";190
"030106a Ullern";"82 years";215
"030106a Ullern";"83 years";169
"030106a Ullern";"84 years";115
"030106a Ullern";"85 years";136
"030106a Ullern";"86 years";104
"030106a Ullern";"87 years";94
